university_id,university_name,url
41,"University Of California, Los Angeles (Ucla)",https://nominatim.openstreetmap.org/search.php?q=University%20Of%20California%2C%20Los%20Angeles%20%20Los%20Angeles%20US&format=geojson&addressdetails=1&limit=1
42,New York University (Nyu),https://nominatim.openstreetmap.org/search.php?q=New%20York%20University%20%20New%20York%20US&format=geojson&addressdetails=1&limit=1
43,University Of Michigan-Ann Arbor,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Michigan-Ann%20Arbor%20Ann%20Arbor%20US&format=geojson&addressdetails=1&limit=1
44,Shanghai Jiao Tong University,https://nominatim.openstreetmap.org/search.php?q=Shanghai%20Jiao%20Tong%20University%20Shanghai%20CN&format=geojson&addressdetails=1&limit=1
45,Institut Polytechnique De Paris,https://nominatim.openstreetmap.org/search.php?q=Institut%20Polytechnique%20De%20Paris%20Paris%20FR&format=geojson&addressdetails=1&limit=1
46,The Hong Kong University Of Science And Technology,https://nominatim.openstreetmap.org/search.php?q=The%20Hong%20Kong%20University%20Of%20Science%20And%20Technology%20Hong%20Kong%20HK&format=geojson&addressdetails=1&limit=1
47,Zhejiang University,https://nominatim.openstreetmap.org/search.php?q=Zhejiang%20University%20Hangzhou%20CN&format=geojson&addressdetails=1&limit=1
48,Delft University Of Technology,https://nominatim.openstreetmap.org/search.php?q=Delft%20University%20Of%20Technology%20Delft%20NL&format=geojson&addressdetails=1&limit=1
49,Kyoto University,https://nominatim.openstreetmap.org/search.php?q=Kyoto%20University%20Kyoto%20JP&format=geojson&addressdetails=1&limit=1
50,Northwestern University,https://nominatim.openstreetmap.org/search.php?q=Northwestern%20University%20Evanston%20US&format=geojson&addressdetails=1&limit=1
51,The London School Of Economics And Political Science (Lse),https://nominatim.openstreetmap.org/search.php?q=The%20London%20School%20Of%20Economics%20And%20Political%20Science%20%20London%20UK&format=geojson&addressdetails=1&limit=1
