Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
45,Iran,53.9,70.2,61.2,59.6,31.2,38.0,2010
46,Paraguay,53.6,11.2,34.7,40.5,31.9,19.5,2010
47,Argentina,53.2,21.2,38.9,34.5,48.0,40.6,2010
48,Poland,52.6,30.7,42.8,42.6,44.9,52.2,2010
49,Bosnia And Herzegovina,51.2,7.9,31.8,53.6,38.8,31.3,2010
50,Lithuania,50.1,28.7,40.5,57.4,36.3,43.3,2010
51,Mexico,49.7,22.9,37.7,46.0,41.0,51.4,2010
52,Romania,45.7,27.5,37.5,41.4,41.2,24.3,2010
53,Ecuador,45.7,19.1,33.8,47.4,28.3,37.9,2010
54,Belarus,43.0,27.9,36.3,43.7,44.5,12.8,2010
55,China,40.1,26.1,33.8,65.0,29.5,36.8,2010
56,Indonesia,38.6,21.2,30.8,45.6,35.2,20.4,2010
57,Bolivia,38.0,19.4,29.7,26.4,32.9,43.1,2010
58,Malaysia,37.5,13.9,27.0,51.0,31.4,61.7,2010
59,Thailand,36.6,21.6,29.9,51.3,28.2,30.8,2010
60,Pakistan,32.4,9.7,22.2,35.3,30.9,37.4,2010
61,Ukraine,31.4,23.0,27.6,23.7,36.2,40.0,2010
62,India,28.7,9.6,20.2,31.0,23.9,43.6,2010
1,Norway,139.5,56.9,109.8,142.9,136.6,93.9,2011
2,Switzerland,131.0,62.1,106.2,131.5,115.1,137.1,2011
3,Denmark,119.7,53.9,96.1,99.0,140.3,93.3,2011
4,Belgium,109.4,37.4,83.6,87.9,117.3,100.1,2011
5,Australia,107.8,51.0,87.4,112.0,88.7,117.1,2011
6,Ireland,107.1,52.8,87.6,110.9,100.1,92.2,2011
7,Netherlands,105.7,43.3,83.3,64.0,106.4,100.3,2011
8,France,101.2,42.7,80.2,83.4,96.6,80.8,2011
9,Sweden,100.7,30.0,75.3,86.0,100.3,99.9,2011
10,Finland,98.7,39.8,77.5,89.7,88.1,109.8,2011
11,Japan,96.5,52.0,80.5,88.9,70.8,106.7,2011
12,Italy,95.8,38.3,75.2,78.7,95.4,66.0,2011
13,Austria,95.2,40.5,75.6,85.1,75.9,99.0,2011
14,United Kingdom,93.8,43.7,75.8,87.9,92.8,98.0,2011
15,Iceland,93.3,36.7,73.0,111.7,90.0,93.2,2011
16,New Zealand,92.6,29.4,69.9,97.0,81.1,80.4,2011
17,Cyprus,91.0,31.0,69.4,75.8,88.8,91.8,2011
18,Greece,89.8,21.1,65.1,72.2,80.7,48.8,2011
19,Canada,89.3,41.5,72.2,95.1,69.8,109.3,2011
20,Singapore,88.8,84.9,87.4,88.2,52.7,82.5,2011
21,Germany,87.2,32.6,67.6,75.3,70.1,118.5,2011
22,Israel,82.9,33.5,65.2,73.0,73.4,84.3,2011
23,Saudi Arabia,81.0,22.2,59.9,125.6,29.5,77.9,2011
24,United Arab Emirates,80.1,74.6,78.1,59.3,97.1,109.3,2011
25,Malta,78.2,24.0,58.7,68.2,66.0,92.3,2011
26,Puerto Rico,77.1,29.2,59.9,70.0,61.5,93.9,2011
27,Brazil,76.8,26.5,58.7,50.1,48.4,58.3,2011
28,Morocco,76.4,25.8,58.3,69.2,41.4,26.9,2011
29,United States,76.2,40.2,63.3,71.0,60.2,120.4,2011
30,Spain,76.1,33.5,60.8,57.5,68.6,67.7,2011
31,Portugal,73.1,30.6,57.8,51.6,51.4,53.6,2011
32,Slovenia,72.6,33.0,58.4,62.1,57.8,64.2,2011
33,Hong Kong,72.2,81.2,75.4,70.1,51.4,65.2,2011
34,Latvia,70.9,19.9,52.6,49.8,76.5,36.2,2011
35,Uruguay,70.3,20.1,52.3,62.0,52.4,44.5,2011
36,Costa Rica,69.8,22.3,52.7,75.7,58.2,44.9,2011
37,South Africa,69.2,27.3,54.1,59.3,50.0,86.4,2011
38,Croatia,68.3,18.1,50.3,65.1,48.2,51.8,2011
39,Lebanon,68.3,42.2,58.9,36.4,58.2,22.9,2011
40,Azerbaijan,67.3,59.5,64.5,47.0,57.8,33.0,2011
41,Dominican Republic,67.1,22.8,51.2,64.9,49.1,46.1,2011
42,Russia,64.0,40.0,55.4,46.9,65.9,33.8,2011
43,Venezuela,63.9,32.4,52.6,52.4,57.6,34.8,2011
44,Jordan,62.0,19.9,46.9,59.2,41.4,34.8,2011
45,Turkey,61.9,17.1,45.8,47.5,42.5,55.9,2011
46,Lithuania,61.8,19.7,46.7,56.1,41.2,31.5,2011
47,Hungary,61.5,16.5,45.3,52.4,43.0,38.0,2011
48,Chile,61.2,16.8,45.2,46.9,47.4,61.2,2011
49,Czech Republic,60.8,30.5,49.9,47.1,37.9,57.3,2011
50,Slovakia,60.0,22.0,46.4,53.7,43.3,59.3,2011
51,South Korea,60.0,31.1,49.6,66.8,50.2,118.7,2011
52,Montenegro,59.5,22.9,46.4,44.8,48.9,27.6,2011
