2025_rank,2024_rank,university,alpha_2,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,qs_overall_score
241,252,Politecnico di Torino,IT,40.2,52.1,3.1,51.6,4.9,41.0,81.4,30.6,77.9,41.7
241,246,Technical University of Darmstadt,DE,20.0,35.9,6.7,70.0,60.3,81.4,65.9,44.4,71.8,41.7
243,237,Dartmouth College,US,22.8,31.0,65.8,60.6,9.2,40.9,42.5,68.8,71.2,41.3
244,241,Victoria University of Wellington,NZ,42.8,21.4,10.1,32.1,100.0,31.0,70.7,71.6,91.4,41.2
245,254,University of Macau,MO,11.9,10.5,9.8,99.1,100.0,99.9,57.0,50.3,7.7,41.1
246,248,Charles University,CZ,45.6,49.1,32.2,8.0,25.0,50.5,96.3,65.5,77.4,41
246,218,University of Sussex,GB,22.6,10.4,15.5,56.8,99.6,84.9,84.7,39.9,97.7,41
248,261,Vanderbilt University,US,24.4,21.8,100.0,53.0,30.1,36.0,78.6,34.7,24.5,40.8
249,280,University of Navarra,ES,30.6,68.0,49.6,14.7,24.8,73.8,63.6,75.8,42.3,40.7
250,226,American University of Beirut (AUB),LB,28.6,29.5,48.5,28.9,63.2,37.0,73.1,97.0,80.5,40.6
251,284,Taylor's University,MY,27.0,81.0,71.5,10.1,64.8,99.6,41.4,4.2,22.2,40.5
192,216,Tongji University,CN,31.8,16.9,29.1,96.9,54.5,26.5,72.9,24.0,81.4,46.9
252,295,Hong Kong Baptist University,HK,18.2,12.0,60.0,61.4,98.9,100.0,37.0,15.7,54.4,40.3
252,232,University of Göttingen,DE,46.4,27.1,76.4,16.2,49.7,22.4,95.1,40.3,32.1,40.3
255,243,Griffith University,AU,27.0,13.7,8.4,62.5,99.8,38.5,92.1,17.9,96.4,40.1
256,281,Bandung Institute of Technology (ITB),ID,43.2,72.7,55.8,2.6,94.4,3.8,26.3,49.2,37.6,39.9
256,235,Heriot-Watt University,GB,17.8,27.1,17.6,65.2,100.0,98.1,75.4,26.3,25.7,39.9
258,262,University of Warsaw ,PL,50.0,53.6,46.4,5.5,10.5,8.4,84.1,60.0,69.8,39.8
259,255,Case Western Reserve University,US,17.2,15.4,82.3,61.6,35.7,71.7,55.6,29.3,53.1,39.7
260,266,University of Lisbon ,PT,44.0,20.7,10.7,36.5,9.0,39.4,98.2,94.0,70.9,39.6
261,290,United Arab Emirates University,AE,30.1,38.3,49.8,16.6,100.0,34.2,86.2,82.0,36.6,39.4
261,256,University of Canterbury | Te Whare W?nanga o Waitaha,NZ,34.7,27.3,10.4,31.4,100.0,27.7,63.0,82.3,91.1,39.4
263,278,Indian Institute of Technology Kanpur (IITK),IN,36.9,56.9,14.0,73.3,2.6,1.1,38.8,19.6,22.0,39.3
264,292,Norwegian University of Science And Technology,NO,33.2,25.2,22.3,30.4,75.1,9.3,94.4,89.4,85.8,39.1
265,300,UCSI University,MY,27.0,65.1,78.1,3.6,89.1,95.8,37.6,10.2,27.9,38.8
265,310,Universitat Pompeu Fabra (Barcelona),ES,31.7,29.4,12.1,67.1,75.6,24.5,74.0,16.4,27.9,38.8
267,248,University of Antwerp,BE,24.1,11.3,37.5,48.1,94.4,32.0,94.6,44.8,74.8,38.7
267,264,University of Witwatersrand,ZA,26.5,42.1,8.9,30.5,75.1,5.8,96.8,98.9,84.8,38.7
331,323,Sun Yat-sen University,CN,31.8,28.8,46.4,49.5,2.2,3.6,77.4,21.4,15.9,33.7
269,307,Universiti Teknologi PETRONAS (UTP),MY,19.5,28.1,38.5,79.0,83.9,20.1,63.9,4.1,18.4,38.6
252,256,Harbin Institute of Technology,CN,27.1,21.1,33.7,99.8,8.0,5.0,68.6,28.3,14.6,40.3
272,222,Radboud University ,NL,28.0,14.1,27.0,66.0,81.3,18.6,93.9,19.6,39.8,38.4
273,292,University College Cork,IE,30.1,35.1,22.1,28.5,89.0,52.1,69.1,34.0,91.0,38.3
273,289,University of Galway,IE,26.2,30.3,63.2,13.2,95.2,43.2,81.3,46.6,85.9,38.3
275,298,Dalhousie University,CA,19.4,16.7,12.9,53.5,99.9,74.6,77.4,30.1,87.9,38.2
275,245,University of Massachusetts Amherst,US,38.2,17.2,10.0,48.8,61.0,25.3,79.8,30.6,83.4,38.2
275,222,University of Pittsburgh,US,35.0,12.7,96.3,31.3,9.5,13.5,91.7,42.6,53.5,38.2
278,253,University of Porto,PT,41.3,17.9,10.8,59.6,6.6,19.8,95.1,39.1,53.1,38.1
278,259,Vrije Universiteit Brussel (VUB),BE,23.3,13.7,76.1,18.2,93.6,58.2,93.1,51.8,72.1,38.1
280,266,Ulsan National Institute of Science and Technology (UNIST),KR,13.6,13.5,87.9,98.1,29.3,9.6,24.8,3.3,16.1,38
281,251,The Hebrew University of Jerusalem,IL,32.8,18.2,79.3,19.4,53.2,23.8,77.8,94.6,34.2,37.9
281,276,University of Strathclyde,GB,25.9,30.0,16.7,31.8,93.0,64.0,85.0,33.6,88.6,37.9
283,328,Université Paris 1 Panthéon-Sorbonne ,FR,65.6,33.3,4.6,2.9,34.3,46.5,70.3,74.8,23.7,37.5
362,392,Xiamen University,CN,23.6,16.2,19.0,72.2,5.1,3.1,62.6,46.0,15.4,31.7
285,336,Middle East Technical University,TR,31.2,70.2,9.0,22.3,12.0,18.3,74.7,77.5,69.5,37.2
285,319,Universidad Carlos III de Madrid (UC3M),ES,33.5,56.3,49.5,4.1,64.8,52.3,66.3,20.7,68.3,37.2
285,268,University of Cologne,DE,35.2,30.4,15.7,29.3,35.9,30.1,90.8,56.8,91.9,37.2
285,272,University of Leicester,GB,19.8,13.7,30.8,43.4,80.0,95.3,88.8,22.7,75.0,37.2
285,276,University of Milan,IT,52.8,17.0,6.4,39.6,6.5,6.8,85.5,44.1,74.8,37.2
285,244,University of Surrey,GB,19.7,17.9,22.8,55.2,97.1,87.1,86.4,20.4,28.4,37.2
291,285,Swinburne University of Technology,AU,13.9,11.4,12.4,86.5,94.9,77.3,66.1,13.9,15.4,37.1
291,281,University of Bergen,NO,31.6,8.3,64.9,28.3,93.3,16.9,90.7,63.9,33.6,37.1
293,285,The University of Arizona,US,37.3,22.2,44.4,38.8,31.6,15.1,94.1,37.1,40.4,37
293,307,University of Tasmania,AU,16.0,7.4,22.1,59.8,79.9,89.7,80.0,15.9,85.6,37
302,340,Beijing Institute of Technology,CN,23.2,24.3,43.4,82.0,5.7,6.7,68.6,14.3,10.1,35.9
296,283,Stellenbosch University,ZA,26.1,35.8,3.5,61.9,19.7,8.0,94.8,85.2,22.0,36.7
297,260,University of Virginia,US,37.3,27.3,55.8,29.1,6.1,11.3,81.6,77.9,35.4,36.6
298,319,Bauman Moscow State Technical University,RU,36.2,51.9,99.9,1.4,65.6,70.0,15.2,7.7,6.8,36.5
298,307,Swansea University,GB,23.1,43.1,25.1,27.9,71.0,59.6,82.3,8.3,91.8,36.5
300,275,Huazhong University of Science and Technology,CN,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,15.0,36.4
301,297,Georgetown University,US,29.3,41.9,63.0,14.0,28.0,37.3,62.5,90.9,37.0,36.3
336,355,Sichuan University,CN,20.4,12.3,10.3,98.5,7.1,4.9,71.3,12.9,11.0,33.3
302,236,Université Paris Cité,FR,27.8,6.2,9.2,87.0,12.0,35.2,99.2,15.2,18.4,35.9
304,268,Linköping University,SE,18.5,26.6,37.9,45.4,81.9,32.6,84.6,42.4,41.0,35.8
304,371,Universidade Federal do Rio de Janeiro,BR,61.9,23.3,13.7,7.8,7.6,1.5,79.7,81.4,59.6,35.8
306,336,Aalborg University,DK,19.9,20.8,25.5,53.2,77.3,14.9,92.1,23.3,75.6,35.7
307,268,"University of California, Irvine",US,37.5,22.3,17.3,40.7,43.9,58.7,84.1,11.2,36.0,35.5
308,345,Airlangga University,ID,37.1,79.1,57.0,1.5,58.0,6.7,40.3,18.9,16.3,35.3
309,302,Goethe-University Frankfurt am Main,DE,43.2,33.2,24.4,15.9,37.4,24.1,90.4,20.2,75.0,35.2
309,362,Universität Innsbruck,AT,20.3,7.8,73.1,9.3,100.0,100.0,71.5,55.8,61.6,35.2
311,274,North Carolina State University,US,26.7,25.4,9.8,63.4,55.0,17.0,78.1,21.5,35.7,35.1
312,304,Jagiellonian University,PL,37.8,46.4,65.1,5.5,5.7,15.4,88.6,51.3,35.4,35
312,306,University of Johannesburg,ZA,17.7,17.9,40.3,24.9,96.5,51.4,98.0,63.1,65.6,35
314,312,Universität Stuttgart,DE,23.1,33.0,6.8,55.2,36.0,46.8,70.4,21.7,65.3,34.9
315,315,Quaid-i-Azam University,PK,17.3,42.4,3.2,93.6,7.0,1.9,65.0,21.0,3.4,34.8
316,342,RUDN University,RU,24.4,48.7,92.0,2.1,8.0,92.2,89.7,10.0,24.0,34.7
489,514,Shanghai University,CN,20.3,13.1,50.8,30.5,40.9,5.3,58.7,8.9,10.5,24.5
316,304,University of Notre Dame,US,25.8,25.2,60.8,29.2,22.3,18.4,70.1,60.2,68.9,34.7
319,318,Simon Fraser University,CA,24.0,11.4,6.2,36.6,97.0,83.9,76.8,22.8,89.8,34.6
320,264,University of Colorado Boulder,US,36.1,17.5,38.3,34.9,32.2,4.9,86.3,31.6,62.8,34.4
321,355,L.N. Gumilyov Eurasian National University (ENU),KZ,34.4,62.0,92.6,1.4,68.7,8.2,22.8,5.5,10.5,34.2
321,347,National Technical University of Athens,GR,21.3,44.9,4.6,76.0,1.3,4.6,72.7,39.6,5.0,34.2
321,349,Universidad Politécnica de Madrid (UPM),ES,31.3,56.5,16.7,11.4,3.2,32.1,81.1,60.7,86.3,34.2
324,278,University of Miami,US,19.0,29.5,50.0,39.3,66.7,16.9,81.6,43.8,27.9,34.1
324,326,University of Southern Denmark (SDU),DK,20.2,15.9,22.3,49.3,85.5,24.1,81.1,21.3,73.2,34.1
326,307,Daegu Gyeongbuk Institute of Science and Technology (DGIST),KR,10.5,11.8,84.1,99.9,6.6,3.3,12.3,2.7,3.1,34
326,404,Istanbul Technical University,TR,27.0,67.2,9.7,17.0,8.3,19.8,76.1,69.1,70.3,34
328,332,Kyung Hee University,KR,23.2,37.1,82.1,15.1,14.3,53.4,54.5,13.8,80.5,33.8
328,299,Rutgers University–New Brunswick,US,36.2,28.1,46.3,12.8,18.0,28.2,78.0,25.7,95.4,33.8
328,407,University of Delhi,IN,38.1,35.3,4.3,25.9,1.3,1.5,75.1,96.0,70.6,33.8
621-630,556,Renmin (People's) University of China,CN,19.5,37.3,16.3,7.9,6.6,4.9,24.3,81.2,9.7,-
332,364,American University of Sharjah,AE,20.9,38.6,19.1,23.9,100.0,100.0,48.1,48.0,16.5,33.6
332,295,University of East Anglia (UEA),GB,17.2,7.2,15.2,58.7,66.8,32.2,87.9,19.2,91.4,33.6
334,294,Université Grenoble Alpes,FR,44.7,14.3,7.9,41.7,20.2,35.1,94.9,20.7,21.5,33.5
335,369,Indian Institute of Technology Roorkee (IITR),IN,19.4,29.0,6.8,93.8,1.3,2.0,44.3,6.4,37.9,33.4
336,380,Flinders University,AU,13.5,5.6,7.2,51.8,97.2,88.8,80.8,7.4,87.4,33.3
336,351,Lappeenranta-Lahti University of Technology LUT,FI,6.4,9.4,9.5,97.6,56.8,28.5,55.6,7.9,55.8,33.3
295,291,Xi’an Jiaotong University,CN,19.0,39.4,14.0,89.5,3.9,3.8,80.5,26.4,18.2,36.9
336,404,University of the Philippines,PH,36.3,65.3,31.1,1.9,1.6,1.1,60.9,65.6,67.7,33.3
340,345,University of Saskatchewan,CA,11.1,5.3,18.2,57.0,77.3,49.5,82.3,32.1,90.7,33.2
340,326,University of South Australia,AU,21.3,12.7,24.9,31.9,99.8,50.9,85.5,15.5,83.6,33.2
342,343,Brunel University London,GB,11.1,13.3,7.1,46.5,99.1,99.8,77.9,19.9,71.2,33
342,334,Sharif University of Technology,IR,11.5,33.6,5.1,99.9,2.9,1.2,61.4,28.2,1.3,33
344,364,Indian Institute of Technology Guwahati (IITG),IN,18.8,32.0,6.4,97.6,2.3,1.2,51.2,4.9,2.2,32.9
344,379,Tufts University,US,16.9,7.7,53.5,45.7,23.5,38.1,60.2,56.1,81.0,32.9
344,313,University of Oulu,FI,15.1,13.5,25.3,59.4,65.3,8.6,89.4,21.7,68.6,32.9
347,371,Tilburg University,NL,14.7,32.5,10.5,55.1,98.4,60.6,56.8,14.3,15.2,32.8
347,335,University of Naples - Federico II,IT,36.6,19.7,4.2,65.1,2.2,1.1,92.5,7.3,20.1,32.8
349,322,University of Victoria (UVic),CA,17.0,7.7,3.9,62.5,94.7,40.9,54.2,11.3,82.9,32.6
350,371,Cairo University,EG,45.8,41.0,8.8,3.0,2.9,7.2,86.4,95.5,47.2,32.5
350,319,Sciences Po ,FR,16.8,34.8,81.1,2.8,52.7,97.2,31.4,97.7,7.2,32.5
352,328,"City, University of London",GB,20.8,21.3,5.6,31.2,95.8,98.9,66.4,54.8,23.2,32.4
353,367,National University of Sciences And Technology (NUST) Islamabad,PK,20.4,71.6,68.8,14.5,4.3,4.0,73.6,2.8,44.9,32.3
354,323,University of Pretoria,ZA,23.9,48.8,4.0,15.5,33.3,8.2,98.1,80.1,79.6,32.2
355,313,Indiana University Bloomington,US,33.4,23.6,23.3,29.1,36.3,10.8,86.6,56.8,32.7,32.1
355,351,University of Coimbra,PT,29.4,10.8,10.3,49.8,8.1,22.9,91.2,31.1,75.8,32.1
355,381,University of Luxembourg,LU,9.2,4.5,80.8,25.2,100.0,100.0,70.1,52.8,3.1,32.1
358,358,University of Tartu,EE,22.9,10.5,93.7,10.8,48.6,15.1,88.8,85.7,18.0,32
359,328,Gwangju Institute of Science and Technology (GIST),KR,13.8,9.0,38.6,100.0,18.6,8.8,27.0,2.2,9.9,31.9
359,336,Pontificia Universidad Católica del Perú,PE,48.4,61.6,33.2,1.6,4.0,1.3,38.1,33.0,29.6,31.9
359,344,University of Aveiro,PT,13.9,5.6,11.1,90.6,4.2,15.3,89.0,2.7,57.7,31.9
362,454,Sultan Qaboos University,OM,18.6,17.1,55.6,21.9,100.0,3.2,78.8,51.5,55.4,31.7
377,384,Nankai University,CN,18.5,9.8,25.4,82.9,12.3,2.7,51.1,37.9,11.5,31.1
362,353,York University,CA,22.7,18.6,3.9,22.6,53.1,78.7,65.5,76.3,86.5,31.7
365,315,Saint Petersburg State University,RU,36.3,30.5,59.4,4.6,4.9,38.9,83.9,71.7,3.2,31.6
365,323,University of Illinois at Chicago (UIC),US,38.5,28.3,31.1,23.3,8.0,19.3,83.8,30.5,34.8,31.6
367,384,Westfälische Wilhelms-Universität Münster ,DE,31.6,22.8,64.5,10.0,30.5,4.5,82.0,35.8,66.8,31.5
368,382,Mahidol University,TH,44.1,21.8,81.1,4.7,4.9,4.2,57.2,9.8,57.7,31.4
368,498,University of Jordan,JO,32.9,46.7,19.5,3.5,21.2,43.5,67.0,82.1,39.5,31.4
368,360,University of Tehran,IR,20.6,26.8,3.0,79.1,2.0,2.0,86.2,23.1,4.7,31.4
371,340,George Washington University,US,25.2,28.8,27.3,27.5,24.6,34.4,79.5,74.5,27.3,31.3
371,362,Lincoln University ,NZ,8.2,5.0,31.8,52.1,100.0,96.3,20.2,40.0,48.9,31.3
371,354,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),ES,31.8,27.7,38.9,16.7,10.1,19.8,85.3,26.3,82.5,31.3
371,364,University of Turin,IT,41.5,7.2,3.2,33.3,4.1,5.3,87.5,51.7,83.6,31.3
375,358,University of Florence,IT,34.6,8.4,4.4,46.6,7.3,12.3,88.5,30.3,74.5,31.2
375,315,University of Turku,FI,27.8,12.1,52.3,29.3,33.2,4.4,86.3,39.9,52.5,31.2
269,285,Tianjin University,CN,17.2,13.5,38.8,99.5,24.8,25.4,65.2,32.4,16.9,38.6
377,347,Pontificia Universidad Javeriana,CO,45.3,56.6,26.3,1.6,3.4,2.5,42.2,78.3,11.3,31.1
377,355,University of Tsukuba,JP,36.6,22.5,54.7,17.3,12.4,19.3,66.9,9.8,63.4,31.1
380,1401+,Technische Universität Bergakademie Freiberg,DE,4.9,4.8,3.5,99.1,41.4,100.0,41.6,1.9,1.1,30.8
380,336,University of Kent,GB,15.4,10.0,14.6,45.7,95.1,49.8,78.8,34.0,40.4,30.8
382,349,University of Pisa,IT,40.4,15.1,8.6,38.8,5.9,4.2,88.3,15.0,56.7,30.7
383,427,Anna University,IN,10.0,12.0,5.5,100.0,,1.3,89.2,5.9,24.7,30.6
384,375, Western Sydney University,AU,19.9,14.2,4.8,31.0,100.0,45.5,87.4,8.9,89.2,30.5
316,360,Shandong University,CN,16.6,35.5,16.7,88.2,8.2,3.1,64.1,20.7,19.7,34.7
385,387,Universiti Brunei Darussalam (UBD),BN,20.2,8.8,92.9,9.9,100.0,46.5,35.4,56.5,12.7,30.4
387,387,Belarusian State University,BY,28.4,40.7,93.0,1.3,3.8,59.3,36.4,38.2,1.0,30.3
388,400,Universidade Nova de Lisboa,PT,28.7,21.8,15.9,23.9,25.3,57.0,86.3,48.7,38.2,30.2
389,595,Università Vita-Salute San Raffaele,IT,3.3,1.8,94.4,88.5,4.4,4.3,39.2,2.1,1.2,30.1
389,368,University of Cyprus (UCY),CY,10.0,4.7,4.5,75.0,93.8,20.0,73.4,42.1,5.8,30.1
389,302,Virginia Polytechnic Institute and State University,US,26.4,26.2,18.9,28.4,71.8,16.5,82.6,24.0,34.8,30.1
392,387,National Taiwan University of Science and Technology (Taiwan Tech),TW,27.6,37.9,43.5,29.4,19.7,25.5,29.8,19.9,38.8,30
393,444,National and Kapodistrian University of Athens,GR,26.7,33.2,2.1,31.0,9.9,15.9,86.6,85.8,29.3,29.9
393,332,"University of California, Santa Cruz",US,17.7,5.9,7.4,65.3,53.4,7.0,64.5,6.1,83.6,29.9
393,489,"University of Rome ""Tor Vergata""",IT,31.3,15.4,9.0,47.2,9.6,30.8,69.1,6.3,57.7,29.9
396,375,Northeastern University,US,19.2,11.8,15.4,24.6,51.6,96.4,67.3,44.0,72.3,29.7
396,375,Ruhr-Universität Bochum,DE,20.3,8.8,2.5,53.4,48.8,39.3,87.3,16.2,53.5,29.7
396,436,Sejong University ,KR,10.8,16.1,11.9,76.9,23.8,31.2,64.1,1.8,45.9,29.7
396,421,Université de Liège,BE,17.0,11.8,9.6,38.0,50.3,53.0,94.6,23.6,81.2,29.7
396,410,University of Southern Queensland ,AU,8.8,5.7,4.8,73.1,84.1,23.0,81.0,8.6,43.0,29.7
401,396,Kazan (Volga region) Federal University,RU,23.6,11.4,95.6,2.4,10.2,95.7,88.3,15.4,22.2,29.6
401,431,Koç University,TR,24.3,54.6,19.1,32.4,24.7,13.0,51.6,6.8,34.8,29.6
403,375,Amirkabir University of Technology,IR,5.2,20.5,4.6,100.0,24.6,2.8,70.2,5.8,1.6,29.5
403,421,University of Canberra ,AU,14.3,7.7,2.4,51.2,79.6,69.4,63.1,5.6,70.9,29.5
405,392,Institut National des Sciences Appliquées de Lyon (INSA),FR,7.4,28.7,33.7,60.6,29.2,58.3,59.5,14.4,2.4,29.3
405,481,Satbayev University,KZ,27.8,43.4,88.1,1.2,66.7,16.9,15.0,23.6,3.8,29.3
405,328,USI - Università della Svizzera italiana,CH,6.1,4.6,73.5,40.7,100.0,100.0,39.3,2.1,1.1,29.3
408,374,"Birkbeck, University of London",GB,10.0,3.6,15.6,57.1,97.7,99.5,55.5,8.8,7.7,29.1
408,400,Masaryk University,CZ,23.5,31.7,9.5,13.8,27.6,66.7,80.2,36.0,79.1,29.1
410,399,HSE University,RU,24.0,38.4,84.8,1.8,6.6,13.5,83.6,13.0,44.6,29
410,415,The American University in Cairo,EG,32.1,31.1,35.5,5.2,97.0,3.8,29.4,75.6,14.6,29
412,407,Auckland University of Technology (AUT),NZ,19.3,11.2,10.6,21.7,100.0,99.8,52.6,12.4,72.6,28.9
413,421,Graz University of Technology,AT,14.7,15.7,98.9,11.1,81.8,59.7,59.9,11.9,2.8,28.8
413,369,Yeshiva University,US,3.1,2.8,65.3,91.6,31.4,13.5,6.6,3.0,15.8,28.8
415,387,Concordia University,CA,15.8,11.4,3.3,17.5,87.4,92.3,73.8,43.6,89.8,28.7
416,413,Oxford Brookes University,GB,30.7,37.6,13.7,7.0,67.5,67.4,68.4,20.5,13.2,28.6
416,392,Technion - Israel Institute of Technology,IL,23.9,24.8,52.0,20.1,74.2,4.3,59.1,35.3,15.0,28.6
418,441, University of Dundee,GB,18.4,13.7,30.8,14.0,91.1,89.4,75.2,7.4,55.4,28.5
418,514,Bo?aziçi University,TR,24.9,65.3,4.1,10.7,10.7,2.6,46.8,84.9,46.2,28.5
420,454,Czech Technical University in Prague,CZ,22.0,42.4,80.6,3.6,19.9,50.2,59.4,15.6,5.8,28.4
421,436,Dublin City University,IE,20.1,26.0,25.8,10.7,75.0,22.6,75.4,35.3,82.5,28.3
421,426,University of Limerick,IE,18.3,25.5,15.7,23.0,87.1,30.8,72.5,8.0,76.4,28.3
423,446,Aston University,GB,12.5,18.5,9.0,34.4,94.2,53.8,79.2,19.6,46.9,28.1
423,441,Université Laval,CA,19.2,8.1,26.0,23.8,55.8,41.6,80.2,36.4,78.4,28.1
425,431,National Taipei University of Technology,TW,13.9,54.7,24.3,41.6,19.8,20.6,21.3,22.5,31.3,28
426,489,IPB University (a.k.a. Bogor Agricultural University),ID,23.5,46.9,71.4,1.8,53.2,3.6,19.1,33.9,35.1,27.9
426,481,Leibniz University Hannover,DE,21.2,32.0,17.9,17.4,46.3,26.9,78.5,14.5,82.1,27.9
428,440,Julius-Maximilians-Universität Würzburg,DE,15.8,7.0,5.5,74.4,45.0,9.5,78.5,8.7,8.8,27.8
431,452,Central South University,CN,8.6,4.1,5.5,99.7,6.4,4.0,67.5,14.1,3.9,27.6
430,436,University of Science and Technology Beijing,CN,11.8,4.2,10.2,99.4,3.1,2.8,56.8,4.9,3.6,27.7
451,486,University of Electronic Science and Technology of China,CN,5.3,5.0,8.2,99.1,3.2,2.5,73.3,7.2,2.3,26.5
431,418,Tomsk State University,RU,22.0,13.5,99.0,4.2,21.6,91.6,64.1,4.4,1.4,27.6
431,403,University of Granada,ES,44.4,14.1,5.7,26.2,3.1,14.8,96.3,4.9,26.3,27.6
434,465,University of Sharjah,AE,18.1,17.3,6.0,22.0,100.0,100.0,84.8,11.2,11.8,27.5
435,428,IE University,ES,8.1,49.3,46.5,2.2,95.2,100.0,3.5,65.6,4.6,27.4
436,451,Iran University of Science and Technology,IR,7.8,14.0,2.7,98.7,12.0,1.5,53.4,5.3,1.6,27.2
436,431,Murdoch University,AU,8.0,4.5,5.2,57.3,85.6,73.9,74.9,14.8,11.3,27.2
436,476,Universitat Politècnica de València,ES,26.5,16.3,36.1,19.7,5.5,25.0,84.9,11.7,76.1,27.2
439,473,Vilnius University ,LT,19.1,23.5,74.7,3.3,12.4,13.6,75.5,83.7,27.1,27.1
440,429,Singapore University of Technology and Design,SG,7.4,5.3,99.0,66.0,,,31.2,4.6,1.1,27
440,469,Università degli Studi di Pavia,IT,21.7,7.4,8.3,64.6,6.2,12.6,82.7,13.5,15.4,27
442,409,Colorado State University,US,18.3,20.4,60.9,17.1,18.5,3.7,78.4,22.2,70.9,26.8
442,421,Novosibirsk State University,RU,24.7,18.4,91.0,9.5,6.3,57.0,56.5,5.8,5.3,26.8
442,505,Università Cattolica del Sacro Cuore,IT,24.2,35.5,27.6,19.2,15.5,7.1,60.5,32.3,54.8,26.8
445,415,James Cook University,AU,14.4,6.5,17.5,46.9,36.7,16.0,76.0,6.7,88.9,26.7
445,396,Justus-Liebig-University Giessen,DE,12.7,5.9,1.9,79.3,14.2,18.8,83.9,10.5,11.0,26.7
445,485,Universitat de Valencia,ES,35.6,11.0,12.0,19.9,2.1,24.3,89.3,8.4,79.3,26.7
284,301,Southern University of Science and Technology,CN,9.3,2.5,89.7,98.8,37.5,1.4,48.3,1.6,31.6,37.3
385,392,South China University of Technology,CN,12.1,6.6,20.0,97.8,10.7,4.6,51.3,27.3,7.3,30.4
448,382,Université de Montpellier,FR,18.6,3.4,8.5,57.2,22.8,29.9,99.5,13.1,17.3,26.6
448,494,Hunan University ,CN,7.9,10.3,15.2,90.6,4.6,1.8,46.5,23.1,2.7,26.6
565,600,Nanjing University of Science and Technology,CN,5.7,2.5,8.9,89.3,,,38.7,3.7,2.3,22
452,431,National Taiwan Normal University,TW,34.7,20.5,62.9,5.4,14.5,25.2,23.3,17.3,49.8,26.4
452,410,University of Kansas,US,14.4,12.6,86.7,9.2,60.3,7.2,84.6,28.2,32.4,26.4
452,431,University of Stirling,GB,11.2,9.4,9.3,30.3,76.9,81.3,61.6,15.8,76.1,26.4
456,415,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),RU,16.6,23.6,94.6,12.0,31.1,45.5,41.7,17.6,1.0,26.3
456,465,Umea University,SE,19.9,11.6,71.8,15.2,51.1,21.8,78.0,9.0,26.3,26.3
456,421,Université de Strasbourg,FR,39.1,10.3,5.1,20.7,34.2,35.9,90.7,20.4,5.4,26.3
456,486,University of Guelph,CA,12.8,12.8,5.0,50.1,46.4,14.3,65.2,11.2,82.9,26.3
460,396,"Stony Brook University, State University of New York",US,18.0,7.3,32.2,23.6,34.7,43.5,76.0,21.2,79.1,26.2
461,410,Universidad de Santiago de Chile (USACH),CL,43.4,55.0,7.2,4.2,6.3,2.2,51.1,12.7,11.2,26.1
462,436,Tampere University,FI,21.7,15.4,20.4,33.1,44.5,5.9,84.8,30.8,23.0,26
462,494,Universidad de Sevilla,ES,39.1,12.6,18.4,8.2,3.5,18.9,91.4,16.0,67.4,26
464,505,Macau University of Science and Technology,MO,4.4,3.4,3.9,56.4,100.0,100.0,26.2,29.5,11.3,25.9
465,476,Kobe University,JP,28.4,33.2,43.9,11.4,7.0,5.6,55.0,15.0,49.8,25.8
466,478,Universität Konstanz,DE,18.3,10.5,37.8,18.3,85.9,14.5,66.1,13.1,63.1,25.7
466,621-630,Universitat Ramon Llull,ES,11.0,52.0,8.7,8.1,93.6,43.1,32.6,71.7,20.1,25.7
466,491,University at Buffalo SUNY,US,18.0,10.7,8.8,33.6,20.1,36.9,68.6,33.3,82.5,25.7
466,419,Washington State University,US,23.3,20.0,15.5,33.5,47.1,5.0,77.3,8.6,29.6,25.7
470,400,Iowa State University,US,20.7,12.0,9.1,47.9,7.5,12.5,77.3,32.9,31.3,25.6
471,469,Ben-Gurion University of The Negev,IL,14.4,14.5,11.1,51.7,64.0,14.3,64.9,16.3,11.8,25.5
472,459,"Essex, University of",GB,15.5,5.2,12.7,22.6,99.8,98.6,75.1,14.0,13.2,25.3
472,446,Johannes Kepler University Linz,AT,12.8,12.3,75.9,14.3,83.5,33.5,59.7,12.2,13.2,25.3
474,481,Bangor University,GB,8.6,5.8,12.1,43.0,40.7,52.3,75.0,8.1,82.9,25.2
474,472,Hiroshima University,JP,24.1,12.3,75.9,8.9,13.2,12.9,70.1,6.9,50.8,25.2
474,460,Universität Potsdam,DE,15.8,3.4,18.6,36.5,51.8,21.2,92.9,1.3,67.1,25.2
477,551,Ajman University,AE,17.3,42.2,9.6,3.2,100.0,100.0,48.4,9.8,1.4,25.1
477,502,Bilkent University,TR,24.0,52.1,13.3,15.2,61.4,3.7,38.3,19.3,10.6,25.1
477,454,Indian Institute of Technology Indore (IIT Indore),IN,6.1,5.0,27.1,95.6,2.1,1.1,23.6,2.2,4.2,25.1
477,413,Royal Holloway University of London,GB,14.9,5.7,13.0,27.2,94.1,86.9,73.2,7.2,19.7,25.1
481,387,Aix-Marseille University,FR,36.9,6.5,7.9,21.7,17.5,18.2,99.1,15.2,25.5,25
481,514,Pontificia Universidad Católica Argentina,AR,19.9,29.4,99.9,1.1,1.9,6.7,12.5,85.7,1.0,25
