2025_rank,2024_rank,university,alpha_2,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,qs_overall_score
56,76,Yonsei University,KR,81.5,97.0,84.2,44.1,20.7,51.2,78.7,87.8,88.9,72.9
57,65,The Hong Kong Polytechnic University,HK,68.0,35.6,65.0,94.9,100.0,91.9,78.9,64.5,77.4,72.1
58,52,Carnegie Mellon University,US,69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5,24.5,72
59,54,Ludwig-Maximilians-Universität München,DE,92.2,86.6,38.5,50.0,75.1,37.6,95.5,66.9,62.2,71.6
60,65,Universiti Malaya (UM),MY,82.9,95.1,75.7,29.1,60.2,64.2,91.8,69.3,83.6,71.2
61,57,Duke University,US,86.0,74.7,100.0,35.1,16.3,61.0,93.3,85.5,75.0,70.8
62,70,City University of Hong Kong,HK,60.9,30.8,89.5,100.0,100.0,100.0,62.9,37.5,72.9,70.7
63,61,KU Leuven,BE,84.6,49.6,7.1,91.0,93.8,47.7,99.5,75.3,51.2,70.3
63,59,Sorbonne University,FR,87.2,52.0,43.0,72.3,33.8,46.7,99.8,79.7,87.6,70.3
65,68,The University of Auckland,NZ,82.2,44.7,15.5,66.9,100.0,84.0,87.4,92.9,99.7,69.7
66,58,University of Texas at Austin,US,93.5,86.6,8.1,76.7,6.1,11.7,91.7,81.7,52.1,69.5
67,79,Korea University,KR,78.2,93.8,73.0,45.0,15.2,45.7,65.7,89.0,85.2,69
68,69,National Taiwan University (NTU),TW,93.4,92.1,25.5,44.3,16.7,27.4,71.5,99.9,90.0,68.7
69,67,The University of Warwick,GB,72.2,86.4,35.5,37.7,98.1,99.1,94.2,65.7,89.7,68.2
69,64,University of Illinois at Urbana-Champaign,US,83.9,75.7,6.4,77.5,14.0,56.3,90.4,81.7,65.0,68.2
71,95,Universidad de Buenos Aires (UBA),AR,94.1,94.1,71.7,1.6,63.9,64.6,73.4,99.8,51.8,67.6
72,62,"University of California, San Diego (UCSD)",US,89.3,57.8,50.8,67.0,54.6,44.3,95.5,21.7,44.3,67.1
73,71,Université Paris-Saclay,FR,60.7,99.1,99.8,35.0,35.7,58.6,98.6,70.8,72.6,67
74,73,KTH Royal Institute of Technology ,SE,45.2,55.6,62.3,86.1,92.0,65.9,91.1,62.4,94.8,65.7
75,85,Lund University,SE,68.3,52.5,55.5,44.6,97.4,73.4,96.7,86.5,99.6,65.6
76,63,University of Washington,US,81.9,55.5,28.6,78.8,11.0,32.8,95.6,68.7,66.5,65.3
77,72,The University of Western Australia,AU,55.5,41.8,13.1,98.8,100.0,99.8,94.2,78.0,50.8,65.2
78,76,University of Glasgow,GB,77.4,67.7,38.0,32.5,95.7,99.4,97.6,33.5,98.5,65
79,73,Brown University,US,59.9,49.6,77.7,76.4,79.9,50.9,83.2,63.6,46.6,64.7
80,84,University of Birmingham,GB,68.9,69.0,39.0,40.5,92.6,89.3,97.5,44.5,96.8,64.1
80,81,University of Southampton,GB,50.1,44.3,40.7,83.4,92.5,98.0,97.1,49.2,96.9,64.1
82,89,The University of Adelaide,AU,56.0,38.9,17.9,87.0,100.0,99.3,93.6,51.5,95.7,63.8
82,75,University of Leeds,GB,70.5,75.9,36.4,39.8,82.5,88.5,98.8,50.9,71.8,63.8
84,87,Ruprecht-Karls-Universität Heidelberg,DE,76.9,59.4,99.4,32.7,54.2,53.6,94.5,25.2,77.6,63.7
84,91,Tokyo Institute of Technology (Tokyo Tech),JP,75.1,94.1,84.1,43.1,23.4,30.5,61.2,23.7,62.2,63.7
86,80,Osaka University,JP,82.4,87.0,45.2,54.9,23.9,12.2,68.2,33.0,68.0,63.5
87,81,"Trinity College Dublin, The University of Dublin",IE,69.5,47.4,20.2,58.4,99.3,88.0,91.3,88.6,57.7,62.9
88,90,University of Technology Sydney,AU,43.9,55.0,9.8,97.7,96.6,86.0,91.4,40.2,96.3,62.4
89,78,Durham University,GB,59.6,83.9,26.3,40.9,97.3,84.9,89.7,39.4,98.6,61.7
89,83,Pennsylvania State University,US,76.6,64.5,25.0,55.4,25.1,28.0,97.9,61.9,96.5,61.7
89,99,Purdue University,US,63.3,81.1,11.4,54.3,79.6,45.2,92.9,63.1,90.1,61.7
92,85,Universidade de São Paulo,BR,92.8,74.6,21.4,28.5,6.8,2.1,95.9,97.9,93.6,61.6
93,103,Pontificia Universidad Católica de Chile (UC),CL,93.7,98.0,23.7,8.8,26.0,3.7,82.5,99.9,79.3,61.5
94,87,Lomonosov Moscow State University,RU,78.0,82.3,99.7,4.1,19.7,91.5,88.1,95.8,3.5,61.4
94,93,Universidad Nacional Autónoma de México (UNAM),MX,97.0,94.4,37.4,2.4,7.5,2.3,93.2,93.2,83.4,61.4
96,111,University of Alberta,CA,57.0,42.2,39.1,61.3,98.3,71.0,96.0,70.0,97.6,61.2
97,98,Freie Universitaet Berlin,DE,80.3,56.9,5.0,71.7,62.4,43.7,93.1,32.8,31.3,60.6
98,100,Pohang University of Science And Technology (POSTECH),KR,45.9,80.0,99.9,96.9,27.6,2.7,26.6,11.0,36.6,60.3
99,106,RWTH Aachen University,DE,46.6,93.7,6.3,71.9,48.6,85.5,86.1,33.4,84.8,59.9
100,107,University of Copenhagen,DK,74.0,31.6,99.8,23.1,84.9,15.6,98.2,90.8,73.2,59.6
101,180,King Fahd University of Petroleum & Minerals,SA,38.0,46.5,86.0,78.0,100.0,47.6,73.9,97.8,20.1,59.5
102,119,"KIT, Karlsruhe Institute of Technology",DE,44.9,80.9,39.4,68.4,70.5,42.9,86.4,50.8,75.3,59.4
103,105,Uppsala University,SE,61.4,33.7,52.0,42.3,99.4,81.1,96.7,68.4,99.2,59.3
104,95,University of St Andrews,GB,46.5,63.2,64.7,49.2,98.4,100.0,83.8,18.5,91.1,59.2
105,104,The University of Sheffield,GB,58.3,48.7,52.5,43.9,83.3,96.8,95.8,33.8,97.7,59.1
105,107,Utrecht University,NL,66.5,38.8,31.0,79.5,55.7,19.4,97.3,54.7,61.9,59.1
107,113,Tohoku University,JP,73.8,82.8,97.8,23.9,14.1,11.4,68.3,22.6,78.6,58.8
108,100,University of Nottingham,GB,61.1,65.8,32.8,37.6,89.4,70.5,98.0,38.0,97.0,58.5
109,121,Technical University of Denmark,DK,33.2,22.1,99.1,84.4,100.0,87.7,88.1,43.6,47.9,58.3
109,91,University of Zurich,CH,59.9,26.4,92.2,40.1,100.0,42.8,94.3,88.6,58.7,58.3
111,123,Politecnico di Milano,IT,70.8,77.0,5.8,40.2,67.4,56.8,88.1,52.9,72.6,58.2
108,93,Boston University,US,61.9,69.1,38.3,41.3,34.3,88.9,86.9,77.2,65.9,58.1
113,109,Aalto University,FI,45.7,40.6,33.2,73.6,95.2,40.1,78.2,95.1,94.7,57.9
114,97,Georgia Institute of Technology,US,67.1,82.6,20.3,52.8,21.3,66.4,75.5,43.1,39.5,57.3
115,112,University of Waterloo,CA,40.4,64.2,6.5,78.9,75.8,71.3,84.6,58.9,93.3,57.2
116,102,University of Wisconsin-Madison,US,77.7,47.8,74.3,23.7,35.3,23.6,91.6,81.6,59.6,57.1
117,115,University of Helsinki,FI,62.3,29.1,59.4,49.6,73.4,5.7,96.9,90.5,94.5,56.8
118,149,Indian Institute of Technology Bombay (IITB),IN,58.5,86.0,14.4,79.1,4.3,1.3,52.3,64.5,52.5,56.3
119,117,University of Oslo,NO,55.6,16.0,73.8,55.7,91.6,31.7,97.3,80.9,72.1,56.1
120,145,Queen Mary University of London,GB,48.3,36.9,30.4,62.8,99.5,99.2,92.5,21.4,95.6,55.8
120,114,Western University,CA,32.6,38.9,3.3,93.4,99.8,49.5,81.5,96.7,99.3,55.8
122,173,Qatar University,QA,29.8,50.6,68.1,48.2,100.0,96.5,89.4,98.6,74.0,55.7
123,140,RMIT University,AU,40.4,48.0,5.2,77.7,100.0,91.4,83.2,38.4,93.9,55.5
123,145,Sungkyunkwan University(SKKU),KR,57.9,70.7,80.5,41.3,17.5,41.7,54.2,36.5,79.1,55.5
125,116,University of Southern California,US,50.4,54.5,17.3,58.0,26.0,74.1,85.8,92.6,97.7,55.2
126,120,Humboldt-Universität zu Berlin,DE,89.2,69.9,7.4,27.0,69.1,35.1,93.1,19.0,19.9,55
126,171,University College Dublin,IE,51.4,43.5,16.6,46.4,99.1,74.8,87.2,89.8,95.6,55
128,118,Stockholm University,SE,52.5,21.0,26.7,64.5,80.7,89.8,95.7,86.6,58.7,54.8
129,110,Newcastle University,GB,50.0,59.3,39.2,38.7,89.5,68.6,97.1,31.3,97.1,54.5
130,118,"University of California, Davis",US,63.0,48.0,23.5,52.5,72.7,51.3,90.6,22.8,76.1,54.4
131,124,University of Basel,CH,26.6,13.5,61.4,94.5,100.0,85.8,89.4,69.9,44.6,54.3
132,134,Sapienza University of Rome,IT,80.7,48.5,5.0,45.3,3.1,8.0,97.1,88.0,72.3,54.2
133,154,Alma Mater Studiorum - University of Bologna,IT,80.8,47.8,3.7,46.6,14.5,12.3,96.0,53.8,88.4,54.1
133,130,Macquarie University,AU,33.4,39.2,9.1,79.6,99.9,91.6,90.9,54.1,95.0,54.1
145,141,Nanjing University,CN,57.1,32.5,35.6,93.0,61.9,7.6,67.1,29.0,16.5,53
136,124,Eindhoven University of Technology,NL,28.7,72.1,35.7,79.3,100.0,82.7,70.8,24.2,29.8,54
137,130,University of Vienna,AT,70.9,40.4,23.2,13.0,100.0,92.0,96.0,89.7,60.9,53.9
138,159,Universiti Kebangsaan Malaysia (UKM),MY,61.7,66.4,80.4,14.1,45.7,78.8,83.7,22.5,64.4,53.8
139,129,Chalmers University of Technology,SE,26.3,50.4,50.5,77.4,100.0,63.1,77.0,31.7,87.0,53.7
139,159,Universidad de Chile,CL,82.8,90.0,8.0,11.2,8.5,4.5,77.1,96.1,64.1,53.7
141,122,Lancaster University,GB,38.9,36.7,27.7,69.6,93.3,92.3,89.7,28.8,96.2,53.6
141,126,Leiden University,NL,68.4,32.9,21.3,54.5,85.0,51.7,95.2,48.8,25.5,53.6
141,145,Rice University,US,39.1,27.3,62.5,87.9,77.5,94.1,62.2,29.5,20.6,53.6
144,143,Aarhus University,DK,54.7,27.6,30.8,63.8,89.8,11.9,96.1,69.5,76.4,53.3
133,137,University of Science and Technology of China,CN,50.0,23.7,94.7,97.7,11.6,5.1,75.7,31.9,11.9,54.1
146,137,Universiti Sains Malaysia (USM),MY,63.3,69.7,46.4,19.6,24.3,96.4,87.8,20.1,71.2,52.7
147,154,Technische Universität Berlin (TU Berlin),DE,55.3,74.3,58.0,22.1,63.2,74.8,86.1,37.7,35.4,52.5
148,158,Universiti Putra Malaysia (UPM),MY,61.0,61.9,58.8,25.7,36.1,92.0,80.5,17.5,53.5,52.3
149,143,King Abdulaziz University (KAU),SA,59.8,61.4,41.6,34.4,89.3,9.5,93.1,35.9,58.4,52.2
150,197,Indian Institute of Technology Delhi (IITD),IN,54.1,80.9,17.3,77.4,3.1,1.5,63.3,35.1,32.7,52.1
150,148,University of Bath,GB,35.8,67.9,18.3,52.0,94.3,80.0,84.2,35.2,90.4,52.1
152,136,Michigan State University,US,59.5,48.6,11.4,50.3,54.5,12.4,97.5,57.1,96.3,51.9
152,176,Nagoya University,JP,63.2,65.8,84.7,25.4,14.5,19.6,64.8,21.5,75.0,51.9
154,134,Texas A&M University,US,61.2,66.0,4.4,64.3,21.9,12.1,92.6,44.4,39.5,51.8
155,128,University of Geneva,CH,45.5,17.2,40.4,62.4,100.0,97.6,94.2,49.5,42.3,51.6
155,132,"University of North Carolina, Chapel Hill",US,61.4,36.5,72.9,47.2,23.5,11.1,91.6,55.2,44.6,51.6
155,151,Wageningen University & Research,NL,42.1,23.8,98.6,41.3,59.4,81.2,97.9,21.1,92.3,51.6
158,176,Erasmus University Rotterdam ,NL,37.0,58.2,18.1,63.3,76.0,70.0,85.4,89.3,28.7,51.5
159,141,Université de Montréal ,CA,55.5,32.8,76.0,19.3,87.6,54.1,84.9,54.2,91.4,51.3
159,139,University of Groningen,NL,52.3,34.4,49.3,41.2,93.2,83.5,94.1,40.0,40.1,51.3
161,126,University of Bern,CH,29.7,16.1,45.9,99.3,100.0,38.0,93.8,30.7,52.1,51.2
162,164,Hanyang University,KR,43.0,78.0,77.1,28.5,17.4,57.6,63.0,43.3,85.8,51.1
163,230,Al-Farabi Kazakh National University,KZ,54.2,79.6,99.3,1.4,49.0,54.2,64.7,59.6,29.8,51
164,171,Complutense University of Madrid,ES,68.1,68.1,28.7,7.9,10.5,34.3,91.8,96.3,88.9,50.9
165,164,Universitat de Barcelona,ES,73.7,30.3,12.4,38.1,23.1,26.3,96.8,71.5,92.2,50.7
165,176,University of Liverpool,GB,46.1,39.4,37.8,36.6,88.3,85.4,97.2,36.3,95.6,50.7
167,164,Kyushu University,JP,58.3,66.5,78.4,27.9,18.7,14.1,69.9,15.1,77.6,50.3
